learner,corpus,k_shot,method,mse_mean,mse_sem,mse_ci95,mae_mean,mae_sem,mae_ci95,delta_l2_mean,delta_l2_sem,delta_l2_ci95,delta_geo_mean,delta_geo_sem,delta_geo_ci95,seed_count
B1,T1,16,inner,0.1068778636554877,0.004964231312819898,0.009729893373127,0.2562701168159644,0.005088004363540337,0.00997248855253906,0.43432387510935466,0.016028829158559736,0.03141650515077708,0.04153549747231106,0.0024629064786962918,0.004827296698244732,60
B1,T1,16,none,0.0910412569840749,0.003188164200084104,0.006248801832164844,0.23651136457920074,0.004518573693605177,0.008856404439466148,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T1,16,ridge,0.09211281289656957,0.00239794235637244,0.004699967018489982,0.23969178050756454,0.0030933649311249965,0.006062995265004993,0.3465603575110435,0.00872183041245137,0.017094787608404684,0.06505798064172268,0.00491818981640559,0.009639652040154956,60
B1,T1,24,geo,0.2911205980926752,0.030730001125901924,0.06023080220676777,0.4072574329872926,0.017219455938398118,0.03375013363926031,1.1403961648543677,0.05146807554721682,0.10087742807254498,0.08192933394263188,0.004509851903425581,0.008839309730714139,60
B1,T1,24,inner,0.17681238117317358,0.015314582262369125,0.030016581234243483,0.32161384920279185,0.011378673035230399,0.022302199149051582,0.8063216954469681,0.0359852052608176,0.0705310023112025,0.04137295714269082,0.0022799298049380316,0.004468662417678542,60
B1,T1,24,none,0.0910412569840749,0.003188164200084104,0.006248801832164844,0.23651136457920074,0.004518573693605177,0.008856404439466148,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T1,24,ridge,0.08419010794411103,0.0017724326024356363,0.003473967900773847,0.22915809005498886,0.0024420998613505023,0.004786515728246984,0.35256181384126345,0.0075795327218538735,0.014855884134833592,0.05506385729337732,0.004514128938974962,0.008847692720390925,60
B1,T2,1,geo,0.49649922028183935,0.024093173841800188,0.04722262072992837,0.5498897448182106,0.014913443263831233,0.029230348797109215,0.15105433843564242,0.012723527763841497,0.024938114417129335,0.3127117477711484,0.044106700732886674,0.08644913343645788,60
B1,T2,1,inner,0.5015467355648676,0.021954264332299307,0.04303035809130664,0.5544086009263992,0.013816814395843284,0.027080956215852835,0.10689942283788696,0.009105373976148017,0.017846532993250112,0.15820632396062137,0.02231435554219961,0.04373613686271123,60
B1,T2,1,none,0.5566878815491995,0.018116958795428083,0.035509239239039044,0.5943613747755686,0.010881724875769423,0.02132818075650807,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T2,1,ridge,0.49775381162762644,0.02487436133694604,0.04875374822041424,0.5503999705115954,0.015248784171776338,0.02988761697668162,0.1635578071931377,0.01391447455320104,0.02727237012427404,0.3707044268769096,0.052303733757513036,0.10251531816472555,60
B1,T2,4,geo,0.44403069565693537,0.026692714941206272,0.05231772128476429,0.511330013970534,0.01651752741435806,0.03237435373214179,0.40628414948781333,0.022604424088997682,0.04430467121443546,0.3553542661170165,0.0390632129582562,0.07656389739818215,60
